References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Farnell
"Unmarked; USB port, top center",1,CONN RCPT USB2.0 MICRO B SMD R/A,Amphenol ICC / FCI,10118193-0001LF,,,609-4616-6-ND,649101181930001LF,8632989,2751675
"R1, R3, R7, R8",4,RES SMD 10K OHM 1% 1/8W 0805,Yageo,RC0805FR-0710KL,,,311-10.0KCRDKR-ND,603RC0805FR0710KL,6185163,2148862
"R2, R11, R26",3,RES SMD 100K OHM 1% 1/8W 0805,Yageo,RC0805FR-07100KL,,,311-100KCRDKR-ND,603RC0805FR07100KL,,2459311
"R23, R24, R27",3,RES SMD 1M OHM 5% 1/8W 0805,Yageo,RC0805JR-071ML,,,311-1.0MARDKR-ND,603RC0805JR071ML,,1799482
"R4, R5, R10, R15, R16, R21, R22, R25",8,RES SMD 1K OHM 5% 1/8W 0805,Yageo,RC0805JR-071KL,,,311-1.0KARCT-ND,603RC0805JR071KL,,9234004
R5,1,RES 0.47 OHM 1% 1/3W 0805,Susumu,RL1220S-R47-F,,,RL12S.47FCT-ND,754RL1220SR47F,,9376542
"R6, R13, R14",3,RES ARRAY 4 RES 100K OHM 1206,Panasonic,EXB-V8V104JV,,,Y4104CT-ND,667EXBV8V104JV,,2060173
"R9, R17, R18, R19, R20",5,RES SMD 100 OHM 5% 1/8W 0805,Yageo,RC0805JR-07100RL,,,311-100ARCT-ND,603RC0805JR07100RL,,9233881
LED,1,LED RED CLEAR SMD,Lite-On,LTST-C171KRKT,,,160-1427-6-ND,859LTSTC171KRKT,6920941,
CHG,1,LED YELLOW CLEAR CHIP SMD,Lite-On,LTST-C171KSKT,,,160-1428-1-ND,859LTSTC171KSKT,6920950,
FUL,1,LED GREEN CLEAR SMD,Lite-On,LTST-C171KGKT,,,160-1426-6-ND,859LTSTC171KGKT,6920947,
NEOPIX,1,ADDRESS LED DISCRETE SERIAL RGB,Inolux,IN-PI42TASPRPGPB,,,1830-1206-1-ND,743INPI42TASPRPGPB,,
"C1, C2, C4, C5, C7, C11, C25, C27, C35",9,CAP CER 10UF 10V X5R 0805,Samsung,CL21A106KPFNNNE,,,1276-1052-6-ND,,,3013456
"C13, C32",2,CAP CER 0.1UF 25V X7R 0805,Murata,GRM21BR71E104KA01L,Yageo,CC0805KRX7R9BB104,311-1140-6-ND,603CC805KRX7R9BB104,6698842,3019949
C24,1,CAP CER 4.7UF 25V X7R 0805,Taiyo Yuden,TMK212AB7475KG-T,,,587-2990-6-ND,963TMK212AB7475KGT,1034141,2779199
"C3, C6, C8, C9, C10, C12, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C26, C28, C29",19,CAP CER 1UF 25V X7R 0805,Samsung,CL21B105KAFNNNE,,,1276-1066-1-ND,,7665682,3013481
"C30, C31",2,CAP CER 100UF 6.3V X5R 1210,Samsung,CL32A107MQVNNNE,Taiyo Yuden,JMK325ABJ107MM-P,1276-1092-1-ND,963JMK325ABJ107MMP,7661166,3010208
C33,1,CAP CER 10000PF 100V X7R 0805,Murata,GRM216R71H103KA01D,KEMET,C0805C103K1RACTU,399-1159-1-ND,80C0805C103K1R,2989309,1414661
C34,1,CAP CER 100PF 50V C0G/NP0 0805,Murata,GRM2165C1H101JA01D,,,490-1615-6-ND,,7236199P,2666525
C36,1,CAP CER 1000PF 50V X7R 0805,Samsung,CL21B102KBANNNC,,,1276-1020-6-ND,,,3013466
"FB1, FB2",2,FERRITE BEAD 1 KOHM 0805 1LN,TDK,MMZ2012R102AT000,,,445-1555-6-ND,810MMZ2012R102AT000,,2372956
