Reference, Quantity, Value, Footprint, Datasheet
BTN-RIGHT1 BTN_DOWN1 BTN_LEFT1 BTN_NEXT1 BTN_PREV1 BTN_SEL1 BTN_UP1 ,7,"SWITCH_PUSHBUTTONEVQ-PE","OSO-BOOK-A1-06:TACT_PANA-EVQ",""
BTN_LOCK1 BTN_RESET1 DNP_NEXT_ALT1 DNP_PREV_ALT1 ,4,"SPST_TACTILE_SWITCHRA","OSO-BOOK-A1-06:TL3330AF130QG",""
C1 C11 C2 C4 ,4,"10µF","OSO-BOOK-A1-06:0805-NO",""
C13 ,1,"0.1uF","OSO-BOOK-A1-06:0805_10MGAP",""
C18 C19 C20 C21 C22 C23 ,6,"1uF/25V","OSO-BOOK-A1-06:0805-NO",""
C24 ,1,"4.7uF/25V","OSO-BOOK-A1-06:0805-NO",""
C27 C35 ,2,"10uF","OSO-BOOK-A1-06:0805-NO",""
C12 C14 C15 C16 C17 C29 C3 C9 ,8,"1uF","OSO-BOOK-A1-06:0805-NO",""
C30 C31 ,2,"100uF","OSO-BOOK-A1-06:C1210",""
C32 ,1,"0.1µF","OSO-BOOK-A1-06:0805-NO",""
C33 ,1,"0.01uF","OSO-BOOK-A1-06:0805-NO",""
C34 ,1,"100pF","OSO-BOOK-A1-06:0805-NO",""
C36 ,1,"4.5nF","OSO-BOOK-A1-06:0805-NO",""
C25 C5 C7 ,3,"10uF","OSO-BOOK-A1-06:0805_10MGAP",""
C10 C26 C28 C6 C8 ,5,"1uF","OSO-BOOK-A1-06:0805_10MGAP",""
CHG1 ,1,"AMBER","OSO-BOOK-A1-06:CHIP-LED0805",""
D1 ,1,"MBR120","OSO-BOOK-A1-06:SOD-123",""
D2 D3 D4 ,3,"MBR0530","OSO-BOOK-A1-06:SOD-123",""
D5 D6 ,2,"3.6V","OSO-BOOK-A1-06:SOD-123",""
FB1 FB2 ,2,"Ferrite","OSO-BOOK-A1-06:0805",""
FID1 FID2 FID3 FID4 FID5 FID6 ,6,"FIDUCIAL_1MM","OSO-BOOK-A1-06:FIDUCIAL_1MM",""
FUL1 ,1,"GREEN","OSO-BOOK-A1-06:CHIP-LED0805",""
GOLD_ORB_SM1 ,1,"OSHWLOGOLOGO5MM","OSO-BOOK-A1-06:OSHW_5MM",""
J1 ,1,"SJ-43514-SMT","OSO-BOOK-A1-06:CUI_SJ-43514-SMT",""
J2 ,1,"10118193-0001LF","OSO-BOOK-A1-06:FCI_10118193-0001LF",""
JP1 ,1,"PINHD-1X3","OSO-BOOK-A1-06:1X03",""
JP2 ,1,"PINHD-1X1","OSO-BOOK-A1-06:1X01",""
L1 ,1,"10uH","OSO-BOOK-A1-06:MICROBUILDER_INDUCTOR_4X4MM_NR401_BIGPADS",""
LED1 ,1,"RED","OSO-BOOK-A1-06:CHIP-LED0805",""
MICROSD1 ,1,"MICROSD","OSO-BOOK-A1-06:MICROSD",""
MS1 ,1,"FEATHERWING_SMTDUAL","OSO-BOOK-A1-06:FEATHERWING_SMT2",""
NEOPIX1 ,1,"WS2812B_4020","OSO-BOOK-A1-06:WS2812B_4020",""
PORT_A8 PORT_A9 ,2,"JST PH 3","OSO-BOOK-A1-06:JSTPH3",""
PORT_I2C1 ,1,"JST PH 4","OSO-BOOK-A1-06:JSTPH4",""
Q1 ,1,"DMG341","OSO-BOOK-A1-06:SOT23-R",""
Q2 ,1,"IRLML0100","OSO-BOOK-A1-06:SOT23-3",""
R1 R3 ,2,"10K","OSO-BOOK-A1-06:0805-NO",""
R12 ,1,"0.47ohm","OSO-BOOK-A1-06:0805_10MGAP",""
R15 R16 ,2,"1K","OSO-BOOK-A1-06:_0805MP",""
R11 R2 R26 ,3,"100K","OSO-BOOK-A1-06:0805-NO",""
R17 R18 R19 R20 ,4,"100","OSO-BOOK-A1-06:0805-NO",""
R23 R24 R27 ,3,"1M","OSO-BOOK-A1-06:0805-NO",""
R30 R31 R32 R33 ,4,"10K","OSO-BOOK-A1-06:_0805MP",""
R10 R21 R22 R25 R4 R5 ,6,"1K","OSO-BOOK-A1-06:0805-NO",""
R13 R14 R6 ,3,"100K","OSO-BOOK-A1-06:EXBV8V",""
R28 R29 R7 R8 ,4,"10K","OSO-BOOK-A1-06:0805_10MGAP",""
R9 ,1,"100","OSO-BOOK-A1-06:0805_10MGAP",""
SJ1 ,1,"SOLDERJUMPER_FIVEWAY","OSO-BOOK-A1-06:SOLDERJUMPER_FIVEWAY",""
SW1 ,1,"SPDT_SWITCH","OSO-BOOK-A1-06:A10767",""
TP1 TP2 TP6 TP7 TP8 ,5,"TESTPOINTROUND2MMNO","OSO-BOOK-A1-06:TESTPOINT_ROUND_2MM_NO",""
U$1 U$4 U$5 U$7 ,4,"MOUNTINGHOLE2.5","OSO-BOOK-A1-06:MOUNTINGHOLE_2.5_PLATED",""
U$2 ,1,"WAVESHARE_4_2_INCH_EINK_DISPLAY","OSO-BOOK-A1-06:EINK_DISPLAY_4_2IN",""
U1 ,1,"AP2112-3.3","OSO-BOOK-A1-06:SOT23-5",""
U2 ,1,"MCP73831T-2ACI/OT","OSO-BOOK-A1-06:SOT23-5",""
U3 ,1,"ATSAMD51J64-TQFP(10X10)","OSO-BOOK-A1-06:TQFP64-10X10",""
U4 ,1,"GD25Q16C","OSO-BOOK-A1-06:SOIC8_150MIL",""
U5 ,1,"74AC165D","OSO-BOOK-A1-06:SO16",""
U6 ,1,"GD25Q16C","OSO-BOOK-A1-06:MICROBUILDER_SOIC8_150MIL",""
U7 ,1,"MAX4468EKAT","OSO-BOOK-A1-06:SOT65P280X145-8N",""
X1 ,1,"JSTPH","OSO-BOOK-A1-06:JSTPH2",""
X2 ,1,"2x5 0.05" SWD","OSO-BOOK-A1-06:2X05_1.27MM_BOX_POSTS",""
