Reference, Quantity, Value, Footprint, Datasheet
ACCESSORY_PORT1 ,1,"JST PH 3","OSO-TIBO-B1-00:JSTPH3",""
BTN_LOCK1 BTN_RESET1 ,2,"SWITCH_PUSHBUTTONC&K_KSS","OSO-TIBO-B1-00:BTN_CK_KSS",""
C1 C2 C6 ,3,"10µF","OSO-TIBO-B1-00:0805-NO",""
C10 C11 C12 C14 C15 C16 C17 ,7,"1uF","OSO-TIBO-B1-00:0805_10MGAP",""
C13 ,1,"0.1uF","OSO-TIBO-B1-00:0805_10MGAP",""
C18 C19 C20 C21 C22 C23 ,6,"1uF/25V","OSO-TIBO-B1-00:0805_10MGAP",""
C24 ,1,"4.7uF/25V","OSO-TIBO-B1-00:0805-NO",""
C25 ,1,"10uF","OSO-TIBO-B1-00:0805_10MGAP",""
C27 ,1,"4.5nF","OSO-TIBO-B1-00:0805-NO",""
C3 C8 C9 ,3,"1uF","OSO-TIBO-B1-00:0805-NO",""
C5 ,1,"1µF","OSO-TIBO-B1-00:0805-NO",""
C26 C4 C7 ,3,"10uF","OSO-TIBO-B1-00:0805-NO",""
CHG1 ,1,"AMBER","OSO-TIBO-B1-00:CHIPLED_0805",""
D1 ,1,"MBR120","OSO-TIBO-B1-00:SOD-123",""
D2 D3 D4 ,3,"MBR0530","OSO-TIBO-B1-00:SOD-123",""
D5 ,1,"3.6V","OSO-TIBO-B1-00:SOD-123",""
ENABLE_SWITCH1 ,1,"JS102011SAQN","OSO-TIBO-B1-00:SW_JS102011SAQN",""
FB1 ,1,"Ferrite","OSO-TIBO-B1-00:0805",""
FID1 FID2 FID3 FID4 ,4,"FIDUCIAL_1MM","OSO-TIBO-B1-00:FIDUCIAL_1MM",""
FUL1 ,1,"GREEN","OSO-TIBO-B1-00:CHIPLED_0805",""
GOLD_ORB_SM1 ,1,"OSHWLOGOLOGO5MM","OSO-TIBO-B1-00:OSHW_5MM",""
I2C_PORT1 ,1,"SM04B-SRSS-TB(LF)(SN)","OSO-TIBO-B1-00:JST_SM04B-SRSS-TB(LF)(SN)",""
J2 ,1,"10118193-0001LF","OSO-TIBO-B1-00:FCI_10118193-0001LF",""
JP1 ,1,"PINHD-1X3","OSO-TIBO-B1-00:1X03",""
JP2 ,1,"PINHD-1X1","OSO-TIBO-B1-00:1X01",""
JP3 ,1,"HEADER-1X9_JSTSH","OSO-TIBO-B1-00:JST_SH9",""
L2 ,1,"10uH","OSO-TIBO-B1-00:MICROBUILDER_INDUCTOR_4X4MM_NR401_BIGPADS",""
LED1 ,1,"RED","OSO-TIBO-B1-00:CHIPLED_0805",""
MICROSD1 ,1,"MICROSD","OSO-TIBO-B1-00:MICROSD",""
NEOPIXEL1 ,1,"WS2812B_4020","OSO-TIBO-B1-00:WS2812B_4020",""
Q1 ,1,"DMG341","OSO-TIBO-B1-00:SOT23-R",""
Q2 ,1,"IRLML0100","OSO-TIBO-B1-00:SOT23-3",""
R1 R10 R13 R14 R3 R7 R8 ,7,"10K","OSO-TIBO-B1-00:0805-NO",""
R12 ,1,"0.47ohm","OSO-TIBO-B1-00:0805_10MGAP",""
R15 ,1,"1K","OSO-TIBO-B1-00:_0805MP",""
R16 ,1,"1M","OSO-TIBO-B1-00:0805-NO",""
R2 ,1,"100K","OSO-TIBO-B1-00:0805-NO",""
R4 ,1,"100K","OSO-TIBO-B1-00:EXBV8V",""
R11 R5 R6 ,3,"1K","OSO-TIBO-B1-00:0805-NO",""
R9 ,1,"100","OSO-TIBO-B1-00:0805_10MGAP",""
SENSE1 ,1,"SMD5","OSO-TIBO-B1-00:SMD2,54-5,08",""
SJ1 ,1,"SOLDERJUMPER_2WAY","OSO-TIBO-B1-00:SOLDERJUMPER_2WAY_OPEN_NOPASTE",""
TP1 TP2 TP3 TP4 TP5 ,5,"TESTPOINTROUND2MMNO","OSO-TIBO-B1-00:TESTPOINT_ROUND_2MM_NO",""
U$1 U$4 U$5 U$7 ,4,"MOUNTINGHOLE2.5","OSO-TIBO-B1-00:MOUNTINGHOLE_2.5_PLATED",""
U$31 ,1,"EINK_DISPLAY_TOUCH","OSO-TIBO-B1-00:EINK_DISPLAY_2_7_IN_TOUCH",""
U1 ,1,"AP2112-3.3","OSO-TIBO-B1-00:SOT23-5",""
U2 ,1,"MCP73831T-2ACI/OT","OSO-TIBO-B1-00:SOT23-5",""
U3 ,1,"ATSAMD51G18A-MUT","OSO-TIBO-B1-00:QFN48_7X7MC",""
U4 ,1,"GD25Q32C","OSO-TIBO-B1-00:MICROBUILDER_SOIC8_150MIL",""
X1 ,1,"JSTPH","OSO-TIBO-B1-00:JSTPH2",""
